x_mm,y_mm,z_mm,edep_keV
-1.31069,0.481819,2.57531,12.799
-0.85522,0.348291,2.85487,9.884
-0.852414,0.348291,2.85487,0.0744349
-0.852446,0.348292,2.85492,15.0416
-4.61422,3.31322,-8.63829,11.684
-4.59352,3.31322,-8.63829,0.689644
-4.59353,3.31326,-8.6383,12.6264
-2.27175,1.45048,5.84288,9.884
-2.17883,1.45048,5.84288,0.514598
-2.17881,1.45052,5.8429,14.6014
-2.39339,1.18847,5.52541,11.684
-2.36871,1.18847,5.52541,0.0899234
-2.36869,1.18843,5.52543,13.2261
1.93786,2.53289,-7.12139,11.684
1.94531,2.53289,-7.12139,7.41906
1.94532,2.53289,-7.12143,5.89694
-3.00153,2.41533,4.07507,9.884
-2.98805,2.41533,4.07507,1.02074
-2.98801,2.41534,4.0751,14.0953
-4.18697,4.02052,-8.44763,11.139
-4.18334,4.01735,-8.44915,0.206063
-4.18335,4.01732,-8.44916,13.6549
-3.59907,0.0503781,0.765669,2.197
-3.55267,0.0503781,0.765669,1.80406
-3.55271,0.0502874,0.765685,20.9989
-3.39504,-3.57081,2.49735,11.684
-3.31984,-3.57081,2.49735,0.0528206
-3.31985,-3.57083,2.49738,13.2632
-0.798591,1.03059,7.79404,9.884
-0.781534,1.02468,7.80697,1.22474
-0.781534,1.02473,7.80699,13.8913
-2.62031,1.59013,-0.98466,11.139
-2.61217,1.59013,-0.98466,0.144765
-2.61219,1.5901,-0.984684,13.7162
-2.4432,-2.91804,-8.65003,11.139
-2.42161,-2.91804,-8.65003,0.997034
-2.42164,-2.91807,-8.65004,12.864
-4.04317,4.28089,-8.40457,11.139
-4.01681,4.28089,-8.40457,0.440686
-4.01678,4.28085,-8.40456,13.4203
-3.93231,1.39979,0.579145,9.884
-3.93175,1.39979,0.579145,0.108563
-3.93177,1.39984,0.579145,0.177733
-3.93181,1.39987,0.579153,0.0407034
-3.93184,1.3999,0.579176,0.0713185
-3.93183,1.3999,0.579224,0.269176
-3.93181,1.39991,0.57927,0.249372
-3.93183,1.39989,0.579301,0.0447845
-3.93185,1.39985,0.57928,1.12217
-3.93186,1.39987,0.579303,0.0808426
-3.93185,1.39988,0.57934,0.152762
-3.93182,1.39991,0.579345,0.0912159
-3.9318,1.39994,0.579349,0.0665261
-3.93178,1.39997,0.579364,0.918948
-3.93177,1.4,0.57937,0.0608128
-3.9318,1.40001,0.579384,2.98738
-3.9318,1.4,0.579384,8.67368
3.86798,-0.0988812,-0.101301,11.139
3.87258,-0.0988812,-0.101301,0.606624
3.87257,-0.0988959,-0.101261,13.2544
-0.902208,0.683954,6.14703,11.684
-0.875357,0.683954,6.14703,0.390849
-0.875334,0.683949,6.147,12.9252
-2.42633,0.868629,-2.07435,11.684
-2.4259,0.868629,-2.07435,1.50492
-2.42591,0.868668,-2.07434,0.165077
-2.42592,0.868693,-2.07434,0.127226
-2.42593,0.868697,-2.07435,0.34734
-2.42592,0.868719,-2.07435,0.95545
-2.42589,0.868732,-2.07435,10.216
1.84935,2.71546,-5.41095,2.197
1.86128,2.71546,-5.41095,0.0452399
1.86134,2.71551,-5.411,22.7578
1.93552,2.46498,-7.21995,11.684
2.09328,2.46498,-7.21995,0.755049
2.0933,2.46498,-7.21998,12.561
-4.88259,2.19324,-8.44597,2.472
-4.8665,2.19324,-8.44597,0.289081
-4.86645,2.19316,-8.44596,22.2389
-0.380883,3.64533,-0.506289,11.139
-0.377481,3.64533,-0.506289,0.211185
-0.377484,3.64534,-0.506304,0.709065
-0.377523,3.64536,-0.506296,0.126843
-0.377559,3.64538,-0.506289,0.0432944
-0.377588,3.64541,-0.506288,0.138411
