x_mm,y_mm,z_mm,edep_keV
-2.13006,1.16186,2.30792,0.120698
-2.13008,1.16184,2.30797,14.9953
-4.62527,-0.431967,-8.62915,2.197
-4.62112,-0.431967,-8.62915,1.32859
-4.62106,-0.431919,-8.62918,21.4744
-3.83682,2.43488,-0.613954,1.737
-3.80867,2.43488,-0.613954,0.225791
-3.80861,2.43493,-0.613955,23.0372
2.03247,2.71123,-6.72136,9.884
2.03887,2.71123,-6.72136,0.0772279
2.03892,2.71123,-6.72139,15.0388
-0.145534,0.218818,3.77463,11.139
-0.0615125,0.218819,3.77458,13.861
-1.33955,0.894383,4.46187,11.139
-1.33899,0.894383,4.46187,0.368838
-1.33898,0.894342,4.46188,1.00189
-1.33897,0.894303,4.46188,12.4903
1.47723,2.36669,-2.40574,9.884
1.49413,2.36669,-2.40574,1.01861
1.49416,2.36671,-2.4057,14.0974
-0.687258,2.7308,5.5503,11.684
-0.641999,2.7308,5.5503,0.109983
-0.641966,2.73082,5.55028,13.206
3.77374,-0.166863,-1.0231,11.139
3.79948,-0.166863,-1.0231,0.0665087
3.79947,-0.166908,-1.0231,13.7945
-3.4574,-1.97576,1.53034,9.884
-3.44333,-1.97576,1.53034,0.0258649
-3.44332,-1.97579,1.53033,15.0901
-1.56752,3.42246,1.85088,0.245
-1.56196,3.42246,1.85088,0.530657
-1.56194,3.42242,1.85093,24.2243
-2.00751,2.79386,0.88861,9.884
-1.99549,2.79386,0.88861,0.172638
-1.99543,2.79387,0.888603,14.9434
-2.29581,2.55439,-0.845586,9.884
-2.27785,2.55439,-0.845586,0.657383
-2.27788,2.55442,-0.845551,14.4586
1.90657,2.79754,-5.52678,11.139
1.99286,2.8019,-5.54594,1.07011
1.99288,2.80186,-5.54593,12.7909
-2.34846,1.03107,-0.600646,11.139
-2.32317,1.03107,-0.600646,1.369
-2.32314,1.03109,-0.600641,12.492
-0.980777,0.0148955,-0.877153,9.884
-0.961627,0.0148955,-0.877153,0.0933322
-0.961638,0.0148683,-0.877113,15.0227
-0.817975,3.69605,-1.22341,2.472
-0.791003,3.69605,-1.22341,0.112282
-0.790938,3.69605,-1.22348,0.0595062
-0.790862,3.69608,-1.22349,22.3562
0.0374243,0.393709,8.6745,9.884
0.0471125,0.393709,8.6745,0.15134
0.0471345,0.393682,8.67446,14.9647
-1.13588,0.540411,1.37439,11.139
-1.1294,0.540411,1.37439,0.135677
-1.12941,0.540376,1.37436,13.7253
-3.34301,-3.89593,2.5224,9.884
-3.32964,-3.89593,2.5224,0.792853
-3.32966,-3.89596,2.52236,14.3231
2.40936,3.1725,3.69672,11.684
2.53069,3.1725,3.69672,0.639386
2.53073,3.17251,3.69671,12.6766
3.87609,-0.0672125,2.79778,11.139
3.87966,-0.0672125,2.79778,0.501137
3.87966,-0.0671878,2.79775,13.3599
-2.22567,0.605669,-1.70082,2.197
-2.21474,0.605669,-1.70082,0.187382
-2.21472,0.605682,-1.70077,22.6156
-2.63568,2.28026,-1.69964,11.684
-2.6297,2.28026,-1.69964,0.349632
-2.62968,2.28027,-1.69968,12.9664
-1.09181,1.93361,6.51174,0.038
-1.09007,1.93361,6.51174,0.27014
-1.09004,1.93371,6.51168,0.830783
-1.09001,1.93379,6.51162,0.360366
-1.09007,1.93387,6.51163,0.356508
-1.09014,1.93393,6.51167,0.0686362
-1.09019,1.93399,6.51173,2.09236
-1.09025,1.93405,6.51179,0.105221
-1.0903,1.93407,6.51185,0.938623
-1.09036,1.93412,6.51188,0.923846
-1.09039,1.93419,6.5119,0.174349
-1.09042,1.93424,6.51196,0.133639
-1.09045,1.93425,6.51202,0.0894465
-1.09051,1.93424,6.51204,0.0714281
-1.09051,1.93419,6.51198,0.646013
-1.09049,1.93417,6.51192,1.30451
-1.09045,1.93416,6.51187,0.194196
-1.09041,1.93417,6.51182,16.4019
-3.98396,1.45875,0.338648,11.684
-3.93172,1.45875,0.338648,0.124712
-3.93175,1.45878,0.338637,13.1913
-3.98834,4.39952,-8.92763,9.884
-3.96168,4.39952,-8.92763,0.0317251
-3.96164,4.39956,-8.92762,15.0843
-1.06386,6.28145,-8.52558,11.139
-1.0613,6.28145,-8.52558,1.34593
-1.06131,6.28142,-8.52561,12.5151
-1.23263,0.593892,4.70833,9.884
-1.20141,0.593892,4.70833,0.291208
-1.20138,0.593865,4.70831,14.8248
-1.92048,2.22404,1.0436,11.684
-1.88519,2.22404,1.0436,0.248055
-1.88516,2.22405,1.04361,13.0679
-2.61244,0.508054,-3.77164,11.139
-2.57914,0.508054,-3.77164,0.167536
-2.57911,0.50809,-3.77164,13.6935
-1.58743,0.943405,2.9647,2.197
-1.5804,0.943405,2.9647,0.737429
-1.58035,0.943325,2.9647,22.0656
1.93796,2.46293,-7.44045,11.684
1.94877,2.46293,-7.44045,0.792002
1.94878,2.46297,-7.44045,12.524
-1.54819,0.802988,5.69296,9.884
-1.54563,0.802988,5.69296,0.730844
-1.54558,0.802988,5.69296,14.3852
-2.52045,-2.88535,-8.82241,11.684
-2.51291,-2.88535,-8.82241,0.69938
-2.51291,-2.88533,-8.82245,12.6166
-3.13288,1.2669,-7.94401,9.884
-3.08723,1.2669,-7.94401,0.0338354
-3.08725,1.26687,-7.94404,15.0822
-1.33578,2.52021,5.92745,11.139
-1.33401,2.52021,5.92745,0.984671
-1.33402,2.52017,5.92743,12.8763
-4.65974,3.23464,-8.67454,2.197
-4.62322,3.23464,-8.67454,0.722586
-4.62322,3.23474,-8.67454,22.0804
-0.628406,0.280442,7.40168,11.139
-0.617534,0.280442,7.40168,1.51322
-0.61755,0.280429,7.40164,12.3478
-1.79954,3.14782,2.22919,11.684
-1.79555,3.14782,2.22919,0.0828823
-1.79554,3.1478,2.22922,13.2331
-0.703488,0.630113,8.07051,11.684
-0.682599,0.630113,8.07051,0.208188
-0.682589,0.630088,8.07047,13.1078
-3.20284,-0.374582,-8.09864,1.737
-3.1737,-0.374582,-8.09864,0.0119879
-3.17367,-0.374535,-8.09866,23.251
-2.04134,2.77301,2.09535,11.139
-2.0358,2.77301,2.09535,0.116228
-2.03578,2.77303,2.09539,13.7448
-3.83053,2.28209,-0.621207,11.684
-3.77212,2.28209,-0.621207,2.05123
-3.77208,2.28211,-0.621213,11.2648
-0.267724,-0.199159,7.68822,11.684
-0.256593,-0.199159,7.68822,0.112195
-0.256586,-0.199131,7.68824,13.2038
-4.88211,2.19485,-8.78197,11.139
-4.87855,2.19485,-8.78197,0.23687
-4.87855,2.19481,-8.78195,13.6241
-3.08723,2.85151,3.20768,11.139
-3.07712,2.85151,3.20768,0.146065
-3.07711,2.85153,3.20772,13.7149
-0.381859,3.10039,3.41908,9.884
-0.371847,3.10079,3.42062,0.0468487
-0.371826,3.10076,3.42058,15.0692
-2.44457,1.9236,-0.763322,9.884
-2.44437,1.9236,-0.763322,0.254969
-2.44432,1.9236,-0.763322,0.344809
-2.44428,1.92359,-0.763349,0.185505
-2.44426,1.92357,-0.763393,0.0412924
-2.44427,1.92355,-0.763428,0.0340236
-2.44428,1.92354,-0.763471,0.041393
-2.44429,1.92353,-0.763516,0.0869867
-2.44429,1.9235,-0.763557,1.86172
-2.44426,1.92349,-0.763588,0.976423
-2.44426,1.92352,-0.76361,0.218163
-2.44425,1.92355,-0.763631,0.0691059
-2.44424,1.92358,-0.763624,0.273217
-2.44423,1.92361,-0.763616,0.0835205
-2.44422,1.92362,-0.763591,10.6449
-2.38919,2.10263,-0.758572,2.472
-2.38791,2.10263,-0.758572,0.328148
-2.38795,2.10269,-0.758506,0.626717
-2.388,2.10273,-0.758435,0.136712
-2.38805,2.10279,-0.758391,0.926522
-2.3881,2.10284,-0.758355,0.63172
-2.38818,2.10287,-0.758327,0.716866
-2.38824,2.10292,-0.758309,0.0505309
-2.38828,2.10293,-0.75832,0.975467
-2.38828,2.10288,-0.75837,0.16625
-2.38829,2.10281,-0.758379,0.747715
-2.38827,2.10274,-0.758383,0.885265
-2.38825,2.10277,-0.758384,16.3361
-0.740103,1.33417,7.53675,11.139
-0.739036,1.33417,7.53675,0.182722
-0.739014,1.33418,7.53679,13.6783
4.33069,1.33152,4.55057,11.684
4.32937,1.33159,4.55066,0.547645
4.32939,1.33156,4.55066,9.65421
-3.44761,0.659541,-0.00576885,2.197
-3.42024,0.659541,-0.00576885,1.26811
-3.42022,0.659444,-0.00576843,21.5349
-2.17859,0.987184,1.81379,11.684
-2.11899,0.987184,1.81379,0.228112
-2.119,0.987159,1.81382,13.0879
1.87687,2.49652,-6.21293,9.884
1.8984,2.49652,-6.21293,0.117491
1.89843,2.49649,-6.2129,14.9985
-3.73393,2.26661,2.5682,11.139
-3.71167,2.26661,2.5682,0.23046
-3.71169,2.26662,2.56818,13.6305
1.95379,2.56837,-8.11135,11.139
1.9749,2.56837,-8.11135,0.125046
1.97494,2.56839,-8.11138,13.736
-2.34009,5.81706,-8.85163,2.472
-2.33434,5.81706,-8.85163,0.740808
-2.3343,5.81706,-8.85169,21.7872
-0.528625,1.67532,7.84133,11.139
-0.517508,1.67532,7.84133,0.678941
-0.517536,1.6753,7.84131,13.1821
0.0588613,1.39228,8.87482,9.884
0.060287,1.39228,8.87482,0.487544
0.0602793,1.39232,8.87484,14.6285
-1.00741,2.77729,5.15062,2.712
-0.986669,2.77729,5.15062,0.100925
-0.986635,2.7772,5.15064,22.1871
1.95953,2.59784,-7.92984,11.139
1.98755,2.59784,-7.92984,1.32047
1.98753,2.59786,-7.92981,12.5405
-1.81349,0.394136,-0.922346,11.139
-1.78898,0.394136,-0.922346,0.0447751
-1.78896,0.394127,-0.922366,13.8162
-0.408806,1.56696,8.40019,11.139
-0.379688,1.56696,8.40019,0.0311821
-0.379659,1.56694,8.40021,13.8298
-3.38713,-3.6077,2.47769,11.684
-3.34961,-3.6077,2.47769,0.176597
-3.34963,-3.60768,2.47765,13.1394
-1.83016,0.839084,0.836135,9.884
-1.70343,0.839084,0.836135,0.193766
-1.70344,0.839049,0.836098,14.9222
-4.81786,2.56332,-8.49429,11.139
-4.80304,2.56332,-8.49429,0.364118
-4.80305,2.56333,-8.49426,13.4969
-3.94584,1.04959,0.472063,9.884
-3.93215,1.04959,0.472063,0.820484
-3.93213,1.04954,0.472058,14.2955
-0.706007,3.74371,-1.83631,2.712
-0.674374,3.74371,-1.83631,0.518011
-0.674298,3.74366,-1.83628,21.77
-0.448714,0.247761,7.01177,0.232
-0.425419,0.247761,7.01177,0.762945
-0.425423,0.247786,7.01166,24.0051
-2.48343,1.262,4.09636,2.472
-2.45994,1.262,4.09636,0.825945
-2.45995,1.26195,4.09644,21.7021
-2.79778,1.99902,-7.81195,11.139
-2.79184,1.99902,-7.81195,0.0983819
-2.79184,1.99898,-7.81196,13.7626
-4.89073,0.713381,-8.51506,11.684
-4.8847,0.713381,-8.51506,0.916177
-4.88467,0.713394,-8.51509,12.3998
-4.89563,2.1182,-8.7631,11.139
-4.89189,2.1182,-8.7631,0.166057
-4.89189,2.11818,-8.76306,13.6949
-2.12697,1.96526,0.495313,9.884
-2.12517,1.96526,0.495313,0.229665
-2.12518,1.96531,0.495297,14.8863
-2.15736,0.452331,-1.80813,11.684
-2.15592,0.452331,-1.80813,1.77101
-2.15592,0.452358,-1.80816,11.545
-1.89048,-3.11925,-8.45607,9.884
-1.8899,-3.11925,-8.45607,0.0331568
-1.8899,-3.11925,-8.45612,0.106194
-1.88992,-3.11926,-8.45617,0.123458
-1.88992,-3.11926,-8.45622,0.0818254
-1.88991,-3.11926,-8.45627,0.529161
-1.88987,-3.11926,-8.45629,6.68455
-1.88984,-3.11929,-8.45632,0.750375
-1.88983,-3.1193,-8.45633,0.0665231
-1.88983,-3.11931,-8.45631,1.98215
-1.88984,-3.11932,-8.45631,4.75861
-0.713225,0.559991,8.07024,11.684
-0.708757,0.559991,8.07024,0.0569474
-0.708792,0.559983,8.07021,13.2591
-3.43567,-2.47753,1.83243,11.684
-3.4038,-2.47753,1.83243,0.410124
-3.40379,-2.47756,1.83246,12.9059
-4.14652,3.96821,-8.63439,11.684
-4.12642,3.96406,-8.64083,0.0250985
-4.12643,3.96405,-8.64087,13.2909
-2.99766,1.53237,-6.73917,9.884
-2.9578,1.53237,-6.73917,0.930321
-2.95778,1.53235,-6.73918,14.1857
-0.739609,0.496114,7.62521,11.684
-0.735156,0.495901,7.62413,0.0290103
-0.735183,0.495912,7.6241,13.287
-4.77822,0.0740766,-8.89239,11.684
-4.73222,0.0740766,-8.89239,0.770779
-4.73223,0.0740882,-8.89236,12.5452
-0.763288,0.67287,6.25679,9.884
-0.73272,0.67287,6.25679,0.718768
-0.732679,0.672896,6.25677,14.3972
3.8832,-0.3535,-0.711578,9.884
3.90003,-0.3535,-0.711578,0.167928
3.90007,-0.353474,-0.711602,14.9481
-4.80633,0.237229,-8.75322,9.884
-4.80538,0.237229,-8.75322,0.0128222
-4.8054,0.237229,-8.75321,15.1032
0.0682998,4.03221,-1.96591,9.884
0.10627,4.03221,-1.96591,1.4093
0.106304,4.03224,-1.96589,13.7067
-3.01078,1.57386,-7.51178,9.884
-3.00635,1.57386,-7.51178,0.743578
-3.00632,1.57388,-7.51175,14.3724
-0.664728,2.98743,2.98009,11.139
-0.651363,2.98743,2.98009,0.0439809
-0.651346,2.98743,2.98013,13.817
-1.9894,2.40148,0.488213,11.684
-1.98833,2.40148,0.488213,0.183078
-1.98833,2.40151,0.488195,13.1329
-2.60083,2.46863,-1.633,11.684
-2.56305,2.46863,-1.633,1.34275
-2.56302,2.46865,-1.63299,11.9733
-3.08269,2.08781,3.99339,11.684
-3.05054,2.08781,3.99339,0.296631
-3.05053,2.08784,3.99339,13.0194
-3.46269,-1.13129,0.993701,11.139
-3.45595,-1.13129,0.993701,0.0730292
-3.45593,-1.13127,0.993712,13.788
-0.304347,1.79433,8.08735,9.884
-0.29745,1.79433,8.08735,0.9899
-0.297459,1.79428,8.08734,14.1261
1.55956,3.03702,4.92085,11.684
1.57198,3.03702,4.92085,0.128695
1.572,3.03705,4.92084,13.1873
-0.796097,2.03479,6.82201,9.884
-0.781838,2.03479,6.82201,0.353982
-0.781824,2.03481,6.82203,14.762
-3.80744,0.393921,0.527559,9.884
-3.77152,0.393921,0.527559,0.0721632
-3.77148,0.393908,0.527541,15.0438
-0.509866,1.4115,7.11882,11.139
-0.48751,1.4115,7.11882,0.358878
-0.487508,1.41149,7.11877,13.5021
1.72612,2.92973,-4.71427,9.884
1.74876,2.92973,-4.71427,0.324391
1.74873,2.9297,-4.71427,14.7916
-3.57225,0.101781,-0.281751,9.884
-3.56891,0.102605,-0.282701,0.904326
-3.5689,0.102648,-0.282728,14.2117
-3.47285,4.8613,-8.57182,9.884
-3.4742,4.86827,-8.56387,0.0546378
-3.47417,4.86831,-8.56388,15.0614
-3.16307,2.09372,3.57157,11.139
-3.16291,2.09372,3.57157,0.0174694
-3.16286,2.09373,3.57158,0.876954
-3.16282,2.09374,3.57157,1.05884
-3.16281,2.09373,3.57155,0.602954
-3.16282,2.09377,3.57154,0.851429
-3.16283,2.09379,3.57153,0.231936
-3.16285,2.09381,3.57151,0.438019
-3.16285,2.09379,3.5715,1.01621
-3.16284,2.09377,3.5715,0.0376759
-3.16284,2.09377,3.57147,0.0665035
-3.16283,2.09378,3.57146,0.760443
-3.16284,2.09378,3.57146,7.90257
-3.32368,-0.316674,-8.3363,2.197
-3.31489,-0.316674,-8.3363,0.141583
-3.31483,-0.316697,-8.33626,22.6614
-1.4583,1.19496,3.56093,9.884
-1.43831,1.19496,3.56093,1.29464
-1.4383,1.195,3.5609,13.8214
-0.533666,1.64877,8.01315,11.139
-0.497889,1.64874,8.01316,13.861
-3.66462,2.37893,2.26322,9.884
-3.65972,2.37893,2.26322,0.0253384
-3.65977,2.37891,2.26321,15.0907
-1.82519,6.00423,-8.77948,9.884
-1.81548,6.00423,-8.77948,0.149588
-1.81544,6.00421,-8.77948,14.9664
-1.22907,2.67304,5.0772,9.884
-1.21292,2.67304,5.0772,0.525679
-1.21294,2.67299,5.07719,14.5903
-2.8692,1.9615,-5.57406,11.684
-2.85619,1.9615,-5.57406,0.162424
-2.85616,1.96149,-5.57405,13.1536
-2.13244,2.22631,-3.33496,11.139
-2.13098,2.22631,-3.33496,0.645965
-2.13095,2.22632,-3.33499,13.215
-2.01813,2.92535,2.14597,2.712
-1.99712,2.92535,2.14597,0.397026
-1.99711,2.92527,2.14592,21.891
-1.85114,0.879207,0.931391,11.139
-1.81469,0.879207,0.931391,1.26213
-1.81469,0.879185,0.931351,12.5989
-2.98024,1.6556,-5.31782,11.684
-2.97809,1.6556,-5.31782,0.433641
-2.97809,1.65558,-5.31779,12.8824
-0.531606,0.31023,6.17677,2.712
-0.51138,0.31023,6.17677,0.611113
-0.511383,0.310144,6.17673,21.6769
-3.98175,1.43974,0.357809,0.047
-3.96581,1.43974,0.357809,0.647888
-3.96584,1.4397,0.357786,24.3051
-1.24886,0.887883,3.38407,9.884
-1.24672,0.887883,3.38407,0.174205
-1.24675,0.88787,3.3841,14.9418
-3.51888,-0.719506,1.37892,11.684
-3.50284,-0.719506,1.37892,0.0132005
-3.50283,-0.71947,1.37893,13.3028
-2.20606,2.82829,1.51151,1.737
-2.2049,2.82829,1.51151,1.25458
-2.20481,2.82829,1.51154,1.39274
-2.20474,2.82829,1.5115,20.6157
-2.95497,1.63801,-7.99069,2.197
-2.95182,1.63801,-7.99069,0.0648408
-2.95173,1.63801,-7.99064,22.7382
-2.92845,1.34639,-6.11438,9.884
-2.89215,1.34639,-6.11438,0.187387
-2.89214,1.3464,-6.11436,14.9286
-0.678264,0.536789,6.0881,11.684
-0.651754,0.536789,6.0881,0.518507
-0.651765,0.536768,6.08807,12.7975
-1.93787,1.2823,5.95677,2.197
-1.91922,1.2823,5.95677,0.960203
-1.91916,1.28224,5.95671,21.8428
-1.50957,6.11999,-8.90062,11.684
-1.50724,6.11999,-8.90062,0.164277
-1.50723,6.11995,-8.90064,13.1517
-2.39865,1.43207,-2.48717,9.884
-2.31462,1.43207,-2.48717,0.051634
-2.31458,1.43209,-2.48717,15.0644
-0.699412,0.390098,3.70844,9.884
-0.697852,0.390098,3.70844,0.388871
-0.697819,0.390126,3.70841,0.631361
-0.697793,0.390154,3.70837,0.355697
-0.697812,0.390181,3.70835,0.5129
-0.697838,0.390195,3.70831,0.918969
-0.697859,0.390209,3.70828,12.3082
-2.997,1.48924,-8.23072,11.684
-2.9879,1.48924,-8.23072,0.716024
-2.98787,1.48927,-8.2307,12.6
-0.966712,0.399237,2.13428,11.139
-0.962074,0.399237,2.13428,0.65669
-0.962053,0.399214,2.13426,13.2043
-2.72484,1.50321,-3.58109,2.472
-2.7129,1.50321,-3.58109,1.87048
-2.71289,1.50329,-3.58111,20.6575
3.79186,-0.205883,1.4245,9.884
3.8005,-0.205883,1.4245,5.94295
3.80049,-0.20585,1.42446,9.17305
-4.69559,-0.309043,-8.60314,2.197
-4.67979,-0.309043,-8.60314,1.10886
-4.67981,-0.30899,-8.60307,21.6941
2.35388,2.80988,-6.05205,2.472
2.36951,2.80988,-6.05205,0.111863
2.36952,2.80979,-6.05207,22.4161
-2.85318,1.63647,3.72179,11.139
-2.83731,1.63647,3.72179,0.611644
-2.83728,1.6365,3.72181,13.2494
-1.11426,0.54192,3.86984,9.884
-1.07168,0.54192,3.86984,0.0751251
-1.07167,0.541956,3.86983,15.0409
1.64701,2.42691,-3.25258,9.884
1.64798,2.42691,-3.25258,0.0631837
1.64803,2.42691,-3.25258,0.246515
1.64805,2.42696,-3.25259,0.0391921
1.64806,2.427,-3.25258,1.60688
1.64811,2.42702,-3.25257,0.210489
1.64813,2.42702,-3.25256,0.637846
1.64809,2.42701,-3.25254,0.108801
1.64807,2.427,-3.25251,0.863579
1.64805,2.42701,-3.25248,0.231702
1.64803,2.42702,-3.25246,1.27579
1.648,2.42703,-3.25246,0.0110793
1.64798,2.42704,-3.25247,0.0331271
1.64796,2.42704,-3.25249,1.11663
1.64795,2.42704,-3.25251,8.67118
-2.75335,2.05231,-7.85631,2.712
-2.74852,2.05231,-7.85631,0.551437
-2.74845,2.05231,-7.85625,21.7366
-1.29145,0.554669,3.33024,9.884
-1.29019,0.554669,3.33024,0.12873
-1.29023,0.554655,3.33027,0.157294
-1.29026,0.55464,3.3303,0.131958
-1.2903,0.554617,3.33033,0.354806
-1.29033,0.554598,3.33034,0.0823568
-1.29034,0.554616,3.33029,0.177653
-1.2903,0.554634,3.33026,0.119233
-1.29028,0.554646,3.33024,0.0489036
-1.29029,0.554681,3.33021,0.250242
-1.29029,0.554725,3.3302,0.0517425
-1.29031,0.554768,3.3302,0.0824416
-1.29031,0.554784,3.33018,0.82471
-1.29032,0.55474,3.33018,0.989241
-1.29033,0.554708,3.33019,0.158493
-1.29034,0.554673,3.33019,0.0337022
-1.29035,0.554639,3.33018,0.386709
-1.29035,0.554606,3.33018,0.417523
-1.29035,0.554576,3.33019,0.0476651
-1.29034,0.554564,3.33017,0.0436161
-1.29035,0.554547,3.33015,0.0584281
-1.29035,0.554516,3.33015,0.542307
-1.29035,0.554486,3.33015,0.178706
-1.29036,0.554458,3.33016,0.0688507
-1.29035,0.554437,3.33017,0.155558
-1.29034,0.554432,3.33014,0.102166
-1.29032,0.554432,3.33013,0.074662
-1.29029,0.554433,3.33013,0.471267
-1.29027,0.554443,3.33013,0.0875306
-1.29024,0.554477,3.33013,0.389382
-1.29022,0.554492,3.33014,8.50012
-1.40439,3.14962,2.69505,11.139
-1.39843,3.14962,2.69505,0.453576
-1.39842,3.14958,2.69508,13.4074
-2.59166,2.54946,-4.71355,9.884
-2.58441,2.54946,-4.71355,0.476395
-2.58439,2.54949,-4.71358,14.6396
-3.66828,0.349125,0.20318,11.139
-3.63656,0.349125,0.20318,0.597789
-3.63658,0.349168,0.20317,13.2632
-2.43182,2.10102,5.60375,11.139
-2.4219,2.10102,5.60375,0.0410339
-2.42188,2.10101,5.60371,13.82
-0.332501,0.235605,3.97876,2.197
-0.244895,0.235605,3.97876,0.157995
-0.244852,0.235523,3.97879,22.645
-2.3934,1.82384,-2.00913,11.684
-2.38403,1.82384,-2.00916,13.316
-2.21678,2.72168,1.79227,11.139
-2.1722,2.72168,1.79227,1.2688
-2.17218,2.72169,1.79225,12.5922
3.94033,0.0355609,0.177279,11.139
3.96817,0.0355609,0.177279,0.746161
3.96819,0.0355659,0.177317,13.1148
-2.94956,1.46004,-6.24619,11.684
-2.94184,1.46004,-6.24619,7.08728
-2.94181,1.46001,-6.24616,6.22872
-2.94902,1.03878,-7.26709,11.684
-2.94894,1.03878,-7.26709,0.389066
-2.9489,1.03875,-7.26709,0.0707134
-2.94889,1.03873,-7.26706,1.61042
-2.94888,1.03869,-7.26705,0.352264
-2.94889,1.03867,-7.26705,0.572565
-2.94889,1.03867,-7.26706,0.223527
-2.94889,1.03868,-7.26709,0.00107067
-2.94889,1.03868,-7.26709,0.015361
-2.9489,1.03867,-7.26711,0.770128
-2.94891,1.03867,-7.26712,0.0604624
-2.94891,1.03865,-7.26714,0.0114784
-2.94891,1.03865,-7.26714,0.00873128
-2.94891,1.03865,-7.26714,0.406389
-3.74497,2.06902,-0.407269,9.884
-3.73387,2.06902,-0.407269,0.121699
-3.73383,2.06904,-0.407296,14.9943
-1.00217,0.490077,2.88538,9.884
-0.971703,0.490077,2.88538,0.0531537
-0.971698,0.490029,2.88537,15.0628
-1.01079,3.5494,-0.468705,9.884
-1.00884,3.5494,-0.468705,0.910508
-1.00886,3.5494,-0.468675,0.265695
-1.0089,3.54939,-0.468658,0.176864
-1.00893,3.54936,-0.468645,0.072944
-1.00895,3.54932,-0.468642,0.58621
-1.00897,3.54928,-0.468636,0.0600652
-1.00899,3.54925,-0.468621,1.32042
-1.00902,3.54923,-0.468599,11.7233
-5.01204,1.45183,-8.7137,11.684
-4.9998,1.45183,-8.7137,0.0389723
-4.99976,1.4518,-8.71369,13.277
-3.45022,-2.48682,2.09853,11.139
-3.44423,-2.48682,2.09853,0.0558946
-3.44423,-2.48686,2.09851,13.8051
-2.74112,2.25543,-4.16719,11.139
-2.68016,2.25543,-4.16719,1.39677
-2.68015,2.2554,-4.16717,12.4642
-4.79265,2.70211,-8.79358,1.737
-4.76069,2.70211,-8.79358,1.53848
-4.76063,2.70203,-8.79358,21.7245
-3.44696,2.28278,3.17232,11.139
-3.43963,2.28278,3.17232,1.25809
-3.43962,2.2828,3.17236,12.6029
-2.93137,1.70766,-7.91447,11.139
-2.92765,1.70766,-7.91447,1.39857
-2.92764,1.70761,-7.91448,12.4624
-1.36608,0.714951,5.11265,11.684
-1.36605,0.714951,5.11265,0.290099
-1.36605,0.71499,5.11263,0.0634534
-1.36605,0.715,5.11263,0.150273
-1.36605,0.715009,5.11262,0.678172
-1.36604,0.715005,5.11259,1.05459
-1.36603,0.714981,5.11256,0.248974
-1.36603,0.714958,5.11253,0.389037
-1.36603,0.714966,5.11252,1.60065
-1.36604,0.714972,5.11251,0.0935912
-1.36604,0.714976,5.1125,0.489473
-1.36604,0.714977,5.1125,0.407877
-1.36601,0.714991,5.1125,0.175458
-1.366,0.715005,5.11249,0.79757
-1.36598,0.715017,5.11249,0.277409
-1.36597,0.715028,5.11249,0.0244871
-1.36596,0.715036,5.11249,0.235543
-1.36596,0.715032,5.11249,0.201044
-1.36596,0.715043,5.11249,0.0772387
-1.36596,0.715057,5.11249,0.0294175
-1.36596,0.715069,5.11249,0.0123998
-1.36596,0.715078,5.11248,0.593146
-1.36596,0.715087,5.11247,5.4261
-2.33783,1.18276,1.43652,9.884
-2.29483,1.18276,1.43649,15.116
1.73479,-0.961741,-8.38543,11.139
1.73627,-0.960881,-8.38645,0.934697
1.73629,-0.96087,-8.38642,12.9263
-1.75824,2.0674,6.15895,9.884
-1.7553,2.0674,6.15895,0.0739806
-1.75527,2.06741,6.15896,15.042
-2.99812,2.1032,4.57078,11.139
-2.99327,2.1032,4.57078,0.136835
-2.99324,2.10319,4.57081,13.7242
-2.93771,1.33955,-4.83051,1.737
-2.92852,1.33955,-4.83051,0.355029
-2.92846,1.3395,-4.83056,22.908
-3.22292,-5.86119,3.56888,11.139
-3.18441,-5.86119,3.56888,0.066754
-3.18437,-5.8612,3.5689,13.7942
-2.98203,1.59421,-5.24284,9.884
-2.97677,1.59421,-5.24284,0.19636
-2.97677,1.59416,-5.24286,14.9196
-0.827881,1.20402,7.75977,9.884
-0.807931,1.20402,7.75977,1.41219
-0.807901,1.20399,7.75978,13.7038
2.13276,2.77794,-7.58289,11.139
2.14671,2.77794,-7.58289,0.494666
2.14675,2.77792,-7.58289,13.3663
1.98951,2.61015,-8.19083,9.884
2.01535,2.61015,-8.19083,0.231582
2.01539,2.61018,-8.19084,14.8844
1.95438,2.58241,-7.49141,11.684
1.95783,2.58241,-7.49141,0.306306
1.95787,2.58242,-7.49139,13.0097
-1.8477,3.32638,-1.73182,11.684
-1.83902,3.32638,-1.73182,0.0698485
-1.83902,3.32634,-1.73181,13.2462
-3.76914,1.59688,-0.263173,9.884
-3.76547,1.59688,-0.263173,0.372511
-3.76545,1.59693,-0.263189,14.7435
-2.03384,0.242152,-2.39827,11.684
-1.99496,0.242152,-2.39827,0.0819729
-1.99497,0.242174,-2.39825,13.234
2.05081,2.69687,-7.07355,0.01756
2.06798,2.69687,-7.07355,11.139
2.06791,2.69677,-7.07356,0.139741
2.06788,2.69677,-7.07354,11.9504
2.06798,2.69687,-7.07355,0.0129599
2.06799,2.69688,-7.07355,1.74034
-2.96723,1.56753,-7.69479,11.139
-2.9174,1.56753,-7.69479,0.14456
-2.91738,1.56749,-7.69477,13.7164
3.79002,-0.115162,2.2855,11.684
3.79404,-0.115162,2.2855,0.475193
3.79403,-0.115194,2.28547,12.8408
-1.90081,3.1785,2.07756,11.684
